date,open,high,low,close,volume,symbol
2024-01-01 00:00:00,42283.58,42554.57,42261.02,42475.23,1271.68108,BTCUSDT
2024-01-01 01:00:00,42475.23,42775.0,42431.65,42613.56,1196.37856,BTCUSDT
2024-01-01 02:00:00,42613.57,42638.41,42500.0,42581.1,685.2198,BTCUSDT
2024-01-01 03:00:00,42581.09,42586.64,42230.08,42330.49,794.80391,BTCUSDT
2024-01-01 04:00:00,42330.5,42399.99,42209.46,42399.99,715.4176,BTCUSDT
2024-01-01 05:00:00,42399.98,42406.0,42180.77,42234.01,736.53152,BTCUSDT
2024-01-01 06:00:00,42234.01,42424.82,42208.68,42396.69,601.3725,BTCUSDT
2024-01-01 07:00:00,42396.69,42500.0,42396.68,42492.46,653.67718,BTCUSDT
2024-01-01 08:00:00,42492.46,42556.5,42452.58,42549.99,427.19365,BTCUSDT
2024-01-01 09:00:00,42550.0,42699.32,42537.18,42649.69,879.62491,BTCUSDT
2024-01-01 10:00:00,42649.69,42749.36,42628.0,42691.1,856.81851,BTCUSDT
2024-01-01 11:00:00,42691.1,42762.39,42605.21,42690.2,785.16567,BTCUSDT
2024-01-01 12:00:00,42690.21,42780.0,42611.45,42648.38,785.52851,BTCUSDT
2024-01-01 13:00:00,42648.37,42748.0,42612.76,42715.54,497.2024,BTCUSDT
2024-01-01 14:00:00,42715.54,42715.55,42580.0,42612.24,711.01152,BTCUSDT
2024-01-01 15:00:00,42612.24,42847.07,42586.51,42783.05,942.70163,BTCUSDT
2024-01-01 16:00:00,42783.05,42856.0,42664.42,42725.15,918.71056,BTCUSDT
2024-01-01 17:00:00,42725.15,42824.9,42704.42,42812.7,677.33678,BTCUSDT
2024-01-01 18:00:00,42812.71,43208.86,42812.7,43111.1,2143.30897,BTCUSDT
2024-01-01 19:00:00,43111.1,43550.0,43103.64,43517.99,1947.61533,BTCUSDT
2024-01-01 20:00:00,43517.98,43829.99,43510.71,43687.86,2905.07295,BTCUSDT
2024-01-01 21:00:00,43687.85,43792.59,43480.76,43619.21,1541.59126,BTCUSDT
2024-01-01 22:00:00,43619.22,43661.1,43361.6,43529.93,1024.36372,BTCUSDT
2024-01-01 23:00:00,43529.94,44184.1,43529.93,44179.55,3475.97051,BTCUSDT
2024-01-02 00:00:00,44179.55,45200.0,44148.34,45056.0,6986.25967,BTCUSDT
