timestamp,open,high,low,close,volume,symbol
1704067200000,42283.58,42298.62,42261.02,42298.61,35.92724,BTCUSDT
1704067260000,42298.62,42320.0,42298.61,42320.0,21.16779,BTCUSDT
1704067320000,42319.99,42331.54,42319.99,42325.5,21.60391,BTCUSDT
1704067380000,42325.5,42368.0,42325.49,42367.99,30.5073,BTCUSDT
1704067440000,42368.0,42397.23,42367.99,42397.23,46.05107,BTCUSDT
1704067500000,42397.22,42409.2,42385.26,42409.2,32.26766,BTCUSDT
1704067560000,42409.19,42431.09,42405.89,42423.95,28.13597,BTCUSDT
1704067620000,42423.94,42432.74,42414.45,42414.45,26.49738,BTCUSDT
1704067680000,42414.45,42420.07,42406.0,42420.07,28.00823,BTCUSDT
1704067740000,42420.06,42420.07,42403.99,42409.96,26.40178,BTCUSDT
1704067800000,42409.97,42440.06,42409.96,42440.05,22.61788,BTCUSDT
1704067860000,42440.06,42480.68,42440.05,42479.32,31.81488,BTCUSDT
1704067920000,42479.31,42479.32,42462.22,42462.24,25.25342,BTCUSDT
1704067980000,42462.24,42480.16,42460.0,42480.15,21.40862,BTCUSDT
1704068040000,42480.16,42488.09,42465.78,42488.0,34.04769,BTCUSDT
1704068100000,42488.0,42516.46,42482.47,42510.0,33.40445,BTCUSDT
1704068160000,42510.01,42554.57,42510.0,42541.27,61.90631,BTCUSDT
1704068220000,42541.27,42541.27,42503.36,42503.36,27.71049,BTCUSDT
1704068280000,42503.36,42503.37,42467.28,42474.03,25.78878,BTCUSDT
1704068340000,42474.03,42476.5,42458.58,42458.85,14.51538,BTCUSDT
1704068400000,42458.85,42465.48,42458.28,42459.31,19.02752,BTCUSDT
1704068460000,42459.31,42459.31,42445.84,42446.0,40.51182,BTCUSDT
1704068520000,42446.01,42461.1,42446.0,42461.09,32.82982,BTCUSDT
1704068580000,42461.1,42473.15,42461.09,42468.18,12.69272,BTCUSDT
1704068640000,42468.17,42491.1,42468.17,42473.93,12.20924,BTCUSDT
1704068700000,42473.93,42500.0,42462.03,42499.99,23.92025,BTCUSDT
1704068760000,42500.0,42500.0,42463.62,42463.63,20.32232,BTCUSDT
1704068820000,42463.63,42470.01,42426.0,42436.0,32.69329,BTCUSDT
1704068880000,42436.01,42436.01,42415.74,42420.41,8.77715,BTCUSDT
1704068940000,42420.41,42420.45,42412.02,42419.73,25.93935,BTCUSDT
1704069000000,42419.73,42419.73,42391.34,42391.51,18.10354,BTCUSDT
1704069060000,42391.51,42391.51,42377.64,42381.99,12.99361,BTCUSDT
1704069120000,42382.0,42399.99,42373.11,42373.11,13.11311,BTCUSDT
1704069180000,42373.12,42376.0,42367.44,42373.82,23.24238,BTCUSDT
1704069240000,42373.81,42373.82,42354.19,42362.93,10.40672,BTCUSDT
1704069300000,42362.93,42362.94,42355.36,42359.68,12.28515,BTCUSDT
1704069360000,42359.69,42379.8,42357.57,42379.8,45.75418,BTCUSDT
1704069420000,42379.8,42424.21,42379.79,42416.27,60.49779,BTCUSDT
1704069480000,42416.26,42419.73,42408.41,42408.42,13.82183,BTCUSDT
1704069540000,42408.42,42447.82,42408.41,42447.82,16.82967,BTCUSDT
1704069600000,42447.82,42447.82,42439.08,42445.03,17.29636,BTCUSDT
1704069660000,42445.04,42445.04,42422.64,42423.8,14.3659,BTCUSDT
1704069720000,42423.8,42424.68,42419.34,42424.68,8.01692,BTCUSDT
1704069780000,42424.67,42431.86,42419.34,42419.35,12.37079,BTCUSDT
1704069840000,42419.34,42443.9,42396.5,42441.32,40.80849,BTCUSDT
1704069900000,42441.32,42462.01,42441.31,42462.01,20.20222,BTCUSDT
1704069960000,42462.0,42465.52,42462.0,42465.52,11.60893,BTCUSDT
1704070020000,42465.51,42465.52,42446.0,42446.01,17.62068,BTCUSDT
1704070080000,42446.0,42446.01,42433.1,42433.1,5.09397,BTCUSDT
1704070140000,42433.11,42433.11,42422.45,42422.46,5.22237,BTCUSDT
1704070200000,42422.45,42439.45,42422.45,42439.45,9.00815,BTCUSDT
1704070260000,42439.45,42441.35,42436.48,42441.35,8.63682,BTCUSDT
1704070320000,42441.35,42441.35,42441.34,42441.34,4.23696,BTCUSDT
1704070380000,42441.34,42441.35,42441.34,42441.35,3.9571,BTCUSDT
1704070440000,42441.34,42459.56,42441.34,42459.55,7.29497,BTCUSDT
1704070500000,42459.56,42465.08,42455.99,42465.07,6.3753,BTCUSDT
1704070560000,42465.08,42480.16,42465.07,42480.15,4.58327,BTCUSDT
1704070620000,42480.16,42490.74,42480.15,42490.73,6.03284,BTCUSDT
1704070680000,42490.73,42490.74,42478.41,42490.25,11.52049,BTCUSDT
1704070740000,42490.25,42490.26,42475.22,42475.23,6.42086,BTCUSDT
1704070800000,42475.23,42475.23,42455.46,42455.46,12.61588,BTCUSDT
1704070860000,42455.47,42455.47,42444.42,42444.43,5.70722,BTCUSDT
1704070920000,42444.42,42461.31,42438.19,42461.29,45.55986,BTCUSDT
1704070980000,42461.29,42465.3,42439.35,42441.2,15.987,BTCUSDT
1704071040000,42441.2,42441.2,42435.52,42435.53,6.59804,BTCUSDT
1704071100000,42435.52,42441.12,42431.65,42441.11,8.05643,BTCUSDT
1704071160000,42441.12,42459.22,42437.02,42459.21,16.91346,BTCUSDT
1704071220000,42459.22,42459.22,42445.92,42449.0,16.10281,BTCUSDT
1704071280000,42449.0,42449.0,42448.95,42448.95,7.75119,BTCUSDT
1704071340000,42448.96,42448.96,42436.79,42436.8,9.87553,BTCUSDT
1704071400000,42436.8,42455.47,42436.8,42448.71,13.46823,BTCUSDT
1704071460000,42446.44,42448.3,42446.01,42446.02,2.75677,BTCUSDT
1704071520000,42446.01,42452.34,42442.73,42452.34,11.6603,BTCUSDT
1704071580000,42452.34,42471.1,42452.33,42471.09,10.25242,BTCUSDT
1704071640000,42471.1,42471.1,42466.32,42466.33,5.45585,BTCUSDT
1704071700000,42466.32,42476.73,42466.32,42476.73,4.96801,BTCUSDT
1704071760000,42476.73,42495.71,42476.73,42495.7,8.55967,BTCUSDT
1704071820000,42495.7,42495.71,42493.58,42493.59,5.56665,BTCUSDT
1704071880000,42493.58,42493.59,42487.44,42487.44,5.53092,BTCUSDT
1704071940000,42487.45,42493.62,42478.07,42493.61,12.52454,BTCUSDT
1704072000000,42493.61,42500.0,42493.61,42499.99,4.46182,BTCUSDT
1704072060000,42500.0,42513.17,42499.99,42502.74,23.97695,BTCUSDT
1704072120000,42502.73,42502.74,42499.96,42499.96,6.56761,BTCUSDT
1704072180000,42499.96,42499.97,42487.56,42487.57,7.564,BTCUSDT
